Index	Rewards	 Distance
975       -1        2
976       -1        4
977       -1        2
978       -2        2
979       -1        2
980       -1        2
981       -1        2
982       -2        2
983       -1        2
984       -1        2
985       -1        2
986       -1        2
987       -1        2
988       -1        2
989       -1        2
990       -1        4
991       -1        3
992       -1        1
993       -1        3
994       -1        3
995       -1        3
996       -1        1
997       -1        3
998       -1        3
999       -1        3
1000      -1        3
1001      -1        1
1002      -1        3
1003      -1        1
1004      -1        1
1005      -1        1
1006      -1        3
1007      -1        1
1008      -1        3
1009      -1        5
1010      -1        5
1011      -1        3
1012      -1        1
1013      -1        3
1014      -1        1
1015      -1        3
1016      -1        3
1017      -1        3
1018      -1        3
1019      -1        3
1020      -1        3
1021      -1        1
1022      -2        1
1023      -1        1
1024      -1        1
1025      -1        1
1026      -2        1
1027      -1        1
1028      -1        1
1029      -1        1
1030      -1        3
1031      -2        3
1032      -1        1
1033      -1        1
1034      -1        2
1035      -1        2
1036      -1        2
1037      -1        2
1038      -1        2
1039      -1        1
1040      -1        3
1041      -1        1
1042      -1        1
1043      -2        1
1044      -1        1
1045      -1        3
1046      -1        3
1047      -2        3
1048      -1        3
1049      -1        1
1050      -2        1
1051      -1        3
1052      -1        3
1053      -1        3
1054      -1        3
1055      -1        3
1056      -1        3
1057      -1        3
1058      -1        3
1059      -2        1
1060      -1        3
1061      -1        3
1062      -1        3
1063      -1        3
1064      -1        5
1065      -1        3
1066      -1        1
1067      -1        2
1068      -1        2
1069      -1        2
1070      -1        3
1071      -1        3
1072      -1        3
1073      -1        3
1074      -1        3
1075      -1        3
1076      -1        3
1077      -1        3
1078      -1        2
1079      -1        2
1080      -1        2
1081      -1        3
1082      -2        1
1083      -1        1
1084      -1        1
1085      -1        3
1086      -1        3
1087      -1        3
1088      -1        3
1089      -1        3
1090      -1        5
1091      -1        3
1092      -1        5
1093      -1        3
1094      -1        3
1095      -1        5
1096      -1        3
1097      -1        3
1098      -1        3
1099      -2        3
1100      -1        4
1101      -1        4
1102      -1        2
1103      -1        4
1104      -1        2
1105      -1        2
1106      -1        2
1107      -1        4
1108      -1        4
1109      -1        2
1110      -1        2
1111      -1        2
1112      -1        2
1113      -1        2
1114      -1        2
1115      -2        2
1116      -1        4
1117      -1        2
1118      -1        4
1119      -2        2
1120      -1        2
1121      -1        4
1122      -1        6
1123      -1        4
1124      -1        6
1125      -1        4
1126      -1        2
1127      -2        2
1128      -1        2
1129      -1        4
1130      -1        2
1131      -2        2
1132      -1        2
1133      -1        2
1134      -2        2
1135      -1        2
1136      -1        2
1137      -1        2
1138      -2        2
1139      -1        2
1140      -1        2
1141      -1        4
1142      -2        4
1143      -1        2
1144      -1        2
1145      -1        4
1146      -1        4
1147      -1        2
1148      -1        2
1149      -1        2
1150      -1        4
1151      -1        4
1152      -1        4
1153      -1        2
1154      -2        2
1155      -1        2
1156      -1        4
1157      -1        5
1158      -1        3
1159      -1        3
1160      -1        2
1161      -1        2
1162      -1        2
1163      -1        2
1164      -1        4
1165      -1        4
1166      -1        2
1167      -1        2
1168      -1        2
1169      -1        2
1170      -1        4
1171      -1        4
1172      -1        4
1173      -1        2
1174      -1        2
1175      -1        4
